platform_id,name,category,mobility_class,protection_class,crew,passengers,tags_json
M2_BRADLEY,M2 Bradley,IFV,TRACKED,MEDIUM_ARMOR,3,6,"[""ARMOR"",""IFV""]"
HMMWV,HMMWV,UTILITY_VEHICLE,WHEELED,LIGHT_ARMOR,2,4,"[""VEHICLE"",""WHEELED""]"
BMP_GENERIC,BMP-type IFV,IFV,TRACKED,MEDIUM_ARMOR,3,7,"[""ARMOR"",""IFV""]"
K200_GENERIC,K200-type APC,APC,TRACKED,LIGHT_ARMOR,3,9,"[""ARMOR"",""APC""]"
M1A2_ABRAMS,M1A2 Abrams,MBT,TRACKED,HEAVY_ARMOR,4,0,"[""ARMOR"",""MBT""]"
K2_BLACK_PANTHER,K2 Black Panther,MBT,TRACKED,HEAVY_ARMOR,3,0,"[""ARMOR"",""MBT""]"
